Agent,Route,Time(steps),Distance(m),Speed(m/s),MaxSpeed(m/s),Edges,TLS_enc,Amber_enc,Red_enc,Green_enc,Amber_runs,Red_runs,Green_runs,Sudden_brakes,MaxDecel(m/s^2),AvgDecel(m/s^2),Lane_changes,Collisions,WaitTime(s)
risky_1,9,572,2172.7,3.8,8.39,67,4,0,4,0,1,3,0,87,4.5,6.5,66,0,0.0
safe_1,9,372,2176.87,5.85,9.48,68,4,0,4,0,0,4,0,41,4.5,8.62,67,0,0.0
risky_1,9,526,2178.77,4.14,8.39,69,4,1,3,0,1,3,0,83,4.5,6.48,68,0,0.0
safe_1,1,277,1741.64,6.29,9.48,50,5,0,5,0,3,2,0,32,4.5,8.11,49,0,0.0
risky_1,1,484,1738.4,3.59,8.39,51,5,2,3,0,2,2,1,67,4.5,6.77,51,0,0.0
safe_1,3,247,1541.14,6.24,9.48,49,4,0,4,0,0,4,0,34,4.5,7.11,50,0,0.0
risky_1,3,425,1541.64,3.63,8.39,50,4,0,3,1,1,2,1,71,4.5,5.92,51,0,0.0
safe_1,1,280,1738.44,6.21,9.48,51,5,2,3,0,2,3,0,26,4.5,9.38,51,0,0.0
risky_1,1,407,1736.89,4.27,8.39,50,5,2,3,0,1,4,0,57,4.5,6.98,50,0,0.0
safe_1,1,321,1741.34,5.42,9.48,51,5,2,3,0,3,2,0,38,4.5,8.22,50,0,0.0
risky_1,1,481,1738.32,3.61,8.39,53,5,0,4,1,4,1,0,60,4.5,7.13,52,0,0.0
safe_1,9,374,2175.24,5.82,9.48,68,4,0,4,0,1,3,0,41,4.5,8.81,68,0,0.0
risky_1,9,569,2178.96,3.83,8.39,68,4,2,2,0,0,4,0,80,4.5,6.73,67,0,0.0
safe_1,5,262,1506.44,5.75,9.48,47,4,3,1,0,2,2,0,29,4.5,7.66,47,0,0.0
risky_1,5,408,1508.88,3.7,8.39,48,4,0,4,0,2,2,0,56,4.5,6.84,48,0,0.0
safe_1,5,240,1506.44,6.28,9.48,47,4,1,3,0,1,3,0,20,4.5,10.89,47,0,0.0
risky_1,5,472,1506.15,3.19,8.39,50,4,2,2,0,1,3,0,68,4.5,6.89,50,0,0.0
safe_1,2,481,2530.44,5.26,9.48,84,4,1,2,1,1,3,0,48,4.5,9.35,84,0,0.0
risky_1,2,746,2535.0,3.4,8.39,84,4,1,2,1,1,2,1,104,4.5,7.08,86,0,0.0
safe_1,10,409,2154.9,5.27,9.48,71,8,2,5,1,4,3,1,43,4.5,8.4,71,0,0.0
risky_1,10,667,2155.95,3.23,8.39,70,8,2,5,1,1,6,1,84,4.5,7.15,69,0,0.0
safe_1,1,326,1738.14,5.33,9.48,52,5,1,4,0,1,4,0,37,4.5,8.03,51,0,0.0
risky_1,1,433,1740.57,4.02,8.39,51,5,1,4,0,1,4,0,68,4.5,6.4,50,0,0.0
safe_1,3,258,1545.6,5.99,9.48,51,4,1,3,0,0,4,0,42,4.5,6.78,52,0,0.0
risky_1,3,396,1545.01,3.9,8.39,50,4,1,3,0,1,3,0,56,4.5,6.74,51,0,0.0
safe_1,10,499,2154.83,4.32,9.48,71,8,2,5,1,4,3,1,62,4.5,7.4,71,0,0.0
risky_1,10,702,2151.03,3.06,8.39,73,8,2,6,0,4,4,0,98,4.5,6.39,74,0,0.0
safe_1,10,445,2151.7,4.84,9.48,71,8,2,5,1,3,4,1,54,4.5,7.94,70,0,0.0
risky_1,10,683,2152.79,3.15,8.39,71,8,2,5,1,4,3,1,99,4.5,6.42,72,0,0.0
safe_1,4,395,2020.27,5.11,9.48,51,6,1,5,0,3,3,0,45,4.5,8.17,52,0,0.0
risky_1,4,501,2019.02,4.03,8.39,54,6,1,5,0,3,3,0,75,4.5,6.28,55,0,0.0
safe_1,8,301,5.0,0.02,8.94,2,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
risky_1,8,602,9.44,0.02,8.94,2,0,0,0,0,0,0,0,1,4.5,4.5,1,0,0.0
safe_1,1,278,1738.25,6.25,9.48,50,5,1,4,0,3,2,0,29,4.5,9.4,49,0,0.0
risky_1,1,473,1740.4,3.68,8.39,51,5,1,4,0,1,4,0,80,4.5,6.08,51,0,0.0
safe_1,2,483,2535.02,5.25,9.48,84,4,1,3,0,1,2,1,51,4.5,8.66,86,0,0.0
risky_1,2,648,2534.07,3.91,8.39,85,4,3,1,0,0,4,0,92,4.5,6.72,86,0,0.0
safe_1,7,415,2307.86,5.56,9.65,88,7,3,3,1,2,4,1,44,4.5,8.85,89,0,0.0
risky_1,7,664,2309.58,3.48,9.52,90,7,1,5,1,0,6,1,96,4.5,6.59,91,0,0.0
safe_1,7,432,2306.75,5.34,9.48,86,7,3,3,1,2,4,1,46,4.5,8.48,87,0,0.0
risky_1,7,662,2304.48,3.48,8.39,89,7,1,5,1,2,4,1,98,4.5,6.1,90,0,0.0
safe_1,5,286,1505.73,5.26,9.48,47,4,1,3,0,1,3,0,31,4.5,8.82,47,0,0.0
risky_1,5,363,1508.19,4.15,8.39,51,4,0,4,0,0,4,0,46,4.5,7.08,51,0,0.0
safe_1,1,314,1733.45,5.52,9.48,50,5,3,1,1,4,0,1,38,4.5,8.02,49,0,0.0
risky_1,1,495,1736.81,3.51,8.39,50,5,1,3,1,2,2,1,71,4.5,6.59,49,0,0.0
safe_1,1,290,1733.63,5.98,9.48,53,5,2,3,0,2,3,0,33,4.5,8.95,52,0,0.0
risky_1,1,432,1742.55,4.03,8.39,52,5,0,5,0,0,5,0,66,4.5,6.65,51,0,0.0
safe_1,10,435,2156.77,4.96,9.48,70,8,6,1,1,4,3,1,50,4.5,8.0,71,0,0.0
risky_1,10,644,2152.64,3.34,8.39,70,8,3,5,0,4,3,1,87,4.5,6.62,71,0,0.0
safe_1,2,499,2531.61,5.07,9.48,81,4,1,2,1,1,2,1,54,4.5,8.62,83,0,0.0
risky_1,2,672,2533.51,3.77,8.39,86,4,1,2,1,1,2,1,89,4.5,7.08,87,0,0.0
safe_1,3,238,1543.93,6.49,9.48,50,4,2,2,0,1,3,0,27,4.5,7.25,51,0,0.0
risky_1,3,463,1542.28,3.33,8.39,48,4,1,2,1,1,2,1,62,4.5,6.7,49,0,0.0
